4r40_C		_0_B_2_j_3_A_0_-_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_6_E_0_-_6_A_5_E_6_E_5_D_5_E_6_D_6_B_17_E_5_E_6_E_6_A_7_E_5_G_2_G_5_B_7_C	0-13	12-28	BjACBGBGGGGGBBbi	CDiBbeHHImFFEAEEDEDBEEEAEGGBCEFCF	0.558
8fa4_A		_0_B_2_j_3_A_0_-_0_-_1_C_0_-_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_0_-_2_B_17_B	_5_E_4_j_7_A_1_A_3_j_5_D_18_l_2_h_3_D_6_D_4_E_20_G_2_F_1_F_2_b_2_J_2_F_3_c_2_B_6_F	0-13	20-39	BjACBGBGGGGGBBbi	DEBDefFcjJcBDoGfftEfEjAAjDlhDDEGFFbJFcBF	0.451
4mad_A		_0_B_0_-_2_j_3_A_1_C_0_-_0_-_2_B_0_-_7_G_0_-_2_B_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_0_-_0_-_17_B_8_b	_10_B_4_C_17_k_17_C_2_C_0_b_1_c_3_B_5_c_5_H_3_J_1_E_2_F_6_E_3_H_15_G_2_A_3_E_20_H_4_D_5_E_2_F_6_C_1_b	0-14	25-48	BjACBGBGGGGGBBbi	BBADbkDcbjDcdobDbkEfEjEjGBCkCCbcBcHJEFEHGAEHDEFCbHD	0.449
7xpx_K		_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B_8_b	_0_g_0_-_10_E_3_E_8_D_2_B_1_k_8_D_2_E_12_A_5_G_2_G_10_A_0_-_6_e	1-14	0-12	BjACBGBGGGGGBBbi	gEEDBkDEAGGAe	0.480
7lgn_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_0_-_7_G_0_-_12_G_0_-_12_G_0_-_12_G_12_G_2_B_17_B_8_b_0_-_6_i	_10_E_5_j_0_-_4_C_3_C_2_D_4_h_6_A_5_e_7_E_18_h_2_G_3_g_5_E_6_f_4_D_6_E_0_-_2_F_0_b_9_l_4_h	0-15	36-55	BjACBGBGGGGGBBbi	GFehblDEnjjBCbCAghbgDCjDFHBgiBDbkFFhEjCCDhAeEhGgEfDEFblh	0.432
8sxe_A		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_0_-_0_-_7_G_12_G_0_-_12_G_12_G_0_-_12_G_0_-_2_B_0_-_17_B_8_b_6_i	_6_B_1_j_0_-_3_B_2_E_2_F_4_d_7_C_2_A_5_g_6_E_7_E_1_B_4_F_2_E_6_l_6_D_8_i_8_B_7_A_14_C_0_-_5_j	0-15	2-22	BjACBGBGGGGGBBbi	mkBjBEFdCAgEEBFElDiBACjCEIm	0.445
8q6p_6		_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_0_-_12_G_0_-_0_-_12_G_12_G_2_B_17_B_8_b_6_i	_7_j_4_A_0_-_5_A_5_D_5_j_4_B_5_E_4_E_1_c_4_C_2_b_2_k_1_E_2_E_3_A_2_A_12_c_4_e	1-15	3-20	BjACBGBGGGGGBBbi	fjhjAADjBEEcCbkEEAAceElknmkmim	0.470
5ltk_A		_0_B_0_-_2_j_3_A_0_-_1_C_0_-_2_B_7_G_0_-_2_B_0_-_7_G_0_-_12_G_0_-_12_G_12_G_12_G_0_-_2_B_17_B_8_b_6_i	_2_B_6_D_0_i_6_F_6_k_6_E_4_f_5_C_6_D_7_l_4_D_3_o_4_E_5_g_14_E_1_b_8_E_2_G_4_G_2_g_8_D_3_e_9_b_2_i	0-15	8-31	BjACBGBGGGGGBBbi	gikEjEkDBDiFkEfCDlDoEgEbEGGgDebikekjhmfokCBCHGfn	0.377
7t6f_B		_0_B_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_12_G_0_-_12_G_12_G_0_-_0_-_0_-_2_B_17_B_8_b	_2_C_9_h_3_B_2_B_3_A_12_A_1_c_14_A_4_H_3_G_6_G_1_n_8_F_2_E_7_f_6_n_9_b_0_D_9_C_6_b	0-14	35-54	BjACBGBGGGGGBBbi	DBCjbDACGAlqcgmclDCEECbFEDmbhiBABADChBBAAcAHGGnFEfnbDCbddblhikAbHFFjDCbnAABAAcAlcjik	0.480
4fx9_B		_0_B_2_j_3_A_0_-_0_-_0_-_1_C_2_B_7_G_2_B_0_-_0_-_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_4_E_11_k_1_C_3_E_2_F_3_B_2_C_3_B_30_B_6_B_5_A_4_l_13_D_2_F_2_e_4_H_10_H_4_H_0_-_3_k_3_d_15_h	0-15	16-36	BjACBGBGGGGGBBbi	DkDgcaBEDDCBBkDjEkCEFBCBBBAlDFeHHHkdh	0.402
2wvy_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_0_-_12_G_12_G_0_-_2_B_17_B_0_-_8_b_0_-_6_i	_23_D_0_-_15_A_1_D_12_F_11_I_4_D_4_E_3_F_6_E_5_E_0_b_1_E_12_F_5_D_4_B_3_C_3_E_0_-_7_G_3_j	0-15	1-19	BjACBGBGGGGGBBbi	cDADFIDEFEEbEFDBCEGjlCkAACBAAcgmAjjfogfAAcgjckbfkhACDDFABdGb	0.459
8jb5_A		_0_B_0_-_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_0_-_0_-_12_G_12_G_2_B_17_B_8_b_6_i	_13_B_5_I_9_j_7_B_4_J_3_C_5_C_6_c_4_C_4_C_8_D_4_D_1_c_0_E_2_F_3_b_1_B_3_C_3_E_7_F_5_F_5_E_2_e_1_i	0-15	90-113	BjACBGBGGGGGBBbi	fkomADkEmsjlBglCClkbAADHqkebckfbAelhEkbDEEcFlFblbEBCAiDDlpqBBGEnBBllbkAAgjAkBBlCCDCBBBBBAbBIjBJCCcCCDDcEFbBCEFFEeiGGFFDGIHHkgAKFIEbDADcbCDCDEEDcCfADDDEADDbDDDEADDADDAAADDADDADDCCDDBBDEBCCDDDDDDDDDEBDDCD	0.397
7e52_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_0_-_0_-_7_G_0_-_12_G_0_-_0_-_12_G_12_G_12_G_2_B_17_B_8_b	_5_B_21_k_3_B_3_D_5_D_3_H_3_C_4_e_4_A_2_g_3_D_3_i_5_D_9_j_3_C_2_H_2_H_5_D_2_C_2_C_2_b	0-14	2-22	BjACBGBGGGGGBBbi	GjBkBDDHCeAgDiDjCHHDCCbAABbp	0.453
5wl0_A		_2_j_3_A_1_C_0_-_0_-_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_8_b_6_i	_3_j_1_A_2_A_0_f_5_h_4_A_0_-_2_B_2_G_2_G_5_G_2_E_3_G_0_-_2_H_2_l_2_d_17_j	1-15	1-16	BjACBGBGGGGGBBbi	njAAfhABGGGEGHldjdBCABCAAABbAoidgmjEEBCDAEbbDF	0.585
8c5v_B		_2_j_3_A_1_C_2_B_7_G_0_-_2_B_0_-_7_G_12_G_0_-_12_G_12_G_12_G_0_-_2_B_17_B_8_b_6_i	_21_j_3_B_6_A_1_E_4_H_2_E_5_B_6_C_3_E_2_F_0_d_12_E_4_E_1_H_3_b_7_E_5_D_0_-_1_j	1-15	13-30	BjACBGBGGGGGBBbi	rqBcjBBmeGGhfjBAEHEBCEFdEEHbEDj	0.540
7q3g_C		_0_B_0_-_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_0_-_2_B_17_B_0_-_8_b_0_-_6_i	_0_C_11_g_4_j_23_A_9_A_2_B_10_G_5_D_8_D_2_D_4_E_8_D_7_E_10_G_3_c_15_L_4_K_1_b_3_b_5_C_3_f	0-15	0-20	BjACBGBGGGGGBBbi	CgjAABGDDDEDEGcLKbbCfAHKbKEKKcjnss	0.427
6vxk_C		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_0_-_0_-_7_G_12_G_12_G_0_-_0_-_0_-_0_-_12_G_12_G_2_B_17_B_8_b_6_i	_2_D_0_-_2_D_7_C_8_D_2_D_24_B_4_B_12_A_8_A_10_G_4_J_3_J_9_b_6_C_2_A_4_A_1_H_4_G_5_F_0_-_0_-_0_i	0-15	3-22	BjACBGBGGGGGBBbi	EFFDDCDDBBAAGJJbCAAHGFihDBEEEDEDF	0.402
3b59_D		_0_B_0_-_2_j_3_A_1_C_2_B_7_G_0_-_2_B_7_G_12_G_0_-_12_G_12_G_12_G_2_B_17_B_8_b_6_i	_9_D_4_H_2_k_8_A_7_E_5_E_19_G_15_E_4_B_7_D_3_F_7_e_7_D_6_E_5_E_13_A_0_-_14_b_13_c	0-15	4-21	BjACBGBGGGGGBBbi	JeDDDHkAEEGEBDFeDEEAbc	0.533
6tgf_D		_0_B_0_-_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_0_-_12_G_12_G_12_G_0_-_2_B_0_-_17_B_8_b	_2_B_4_A_10_b_3_C_2_C_13_C_5_H_6_F_24_H_4_H_3_F_5_G_3_I_12_G_7_A_4_C_4_C_5_C_5_b	0-14	43-61	BjACBGBGGGGGBBbi	BbCdeECCBhCEDBcCECDbckACAFCDJDJCJCAHCAHCIADBAbCCCHFHHFGIGACCCbFF	0.594
5m0r_H		_0_B_0_-_2_j_3_A_0_-_0_-_0_-_0_-_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B	_4_C_3_c_1_i_2_C_5_p_3_h_14_i_3_h_4_C_2_A_0_-_2_A_0_-_3_D_2_A_3_E_4_E_3_B	0-12	5-20	BjACBGBGGGGGBBbi	GFAAkCciCphihCAADAEEB	0.357
3p8a_A		_0_B_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_7_G_12_G_12_G_12_G_12_G	_5_G_3_h_6_C_10_D_11_D_6_c_7_I_2_j_2_C_3_D_6_E_4_H_6_D_2_G	0-11	9-22	BjACBGBGGGGGBBbi	GbbEFFdbcGhCDDcIjCDEHDG	0.519
4pk1_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_0_-_7_G_12_G_12_G_12_G_12_G_2_B_17_B	_3_E_0_-_5_E_16_C_3_D_6_E_5_A_7_A_3_C_5_E_4_F_5_E_3_E_5_C_5_B	0-13	16-29	BjACBGBGGGGGBBbi	FdlGGFmGGEADDDGEEECDEAACEFEECBDDDBEDEBEE	0.581
4xi6_A		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_7_G_12_G_12_G_0_-_0_-_12_G_0_-_0_-_0_-_0_-_0_-_12_G_2_B_17_B_8_b_0_-_6_i	_2_C_0_-_6_A_1_d_9_C_7_A_3_b_2_E_5_C_16_F_9_E_4_E_1_b_3_D_1_F_0_b_6_A_4_f_8_b_1_c_2_E_5_C_5_C_1_b_11_C_3_i	0-15	8-32	BjACBGBGGGGGBBbi	CEEEDbAACAdCAbECFEEbDFbAfbcECCbCieFDDbC	0.383
6mnj_B		_0_B_2_j_3_A_0_-_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_12_G_12_G_2_B_17_B_8_b_6_i	_0_B_0_-_5_A_6_I_4_H_5_b_0_G_35_E_5_D_7_J_8_J_10_H_3_b_2_H_5_G_10_G_10_C_4_b_2_b	0-15	0-17	BjACBGBGGGGGBBbi	BAIHbGEDJJHbHGGCbbGFcFAcCAAGGAAIGADAADbFEEFEFd	0.483
5moi_A		_0_B_2_j_3_A_1_C_0_-_2_B_7_G_2_B_7_G_12_G_12_G_0_-_0_-_12_G_0_-_12_G_0_-_2_B_17_B	_3_B_0_-_9_B_3_D_2_d_4_B_0_-_2_B_10_E_9_J_4_E_2_A_2_b_0_B_3_A_5_I_0_e_3_E_8_E	0-13	2-18	BjACBGBGGGGGBBbi	aDBBDdBBEJEAbBAIeEE	0.442
1bfo_C		_0_B_2_j_3_A_0_-_1_C_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_12_G_2_B_17_B_0_-_8_b	_0_B_0_-_2_D_4_E_8_E_6_D_3_A_7_E_2_E_4_b_1_F_6_A_3_E_6_D_3_c_3_J_4_E_2_A_3_D_9_I_0_d	0-14	0-19	BjACBGBGGGGGBBbi	BDEEDAEEbFAEDcJEADIdFE	0.382
7ua8_H		_1_C_2_B_7_G_0_-_2_B_7_G_0_-_12_G_0_-_12_G_0_-_12_G_12_G_2_B_17_B	_0_C_3_B_5_G_3_b_2_E_5_F_6_A_8_E_0_b_1_E_4_b_1_H_4_D_3_D_5_C	3-13	0-14	BjACBGBGGGGGBBbi	CBGbEFAEbEbHDDCCFEDADEEAE	0.538
4x9g_B		_0_B_2_j_3_A_1_C_0_-_2_B_0_-_7_G_2_B_0_-_7_G_0_-_12_G_12_G_0_-_12_G_0_-_12_G_2_B_17_B_8_b	_1_B_0_-_8_A_5_B_2_A_4_B_3_A_5_F_6_B_7_B_2_C_4_b_1_G_4_G_1_A_3_D_2_C_5_G_5_E_10_C_4_b	0-14	25-44	BjACBGBGGGGGBBbi	FDCDDBCbcCCBEABBAGABBbGBABABABAFBBCbGGADCGECbGJ	0.541
7dod_B		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_0_-_0_-_12_G_2_B_17_B_8_b_6_i	_12_A_1_c_8_A_8_C_2_A_23_H_8_C_39_D_14_F_18_D_16_C_3_B_20_A_5_E_2_B_8_A_0_-_3_h	0-15	13-29	BjACBGBGGGGGBBbi	jGEbeJHbDDAJLAcACAHCDFDCBAEBAhGEBAH	0.542
3qfy_A		_0_B_2_j_3_A_1_C_0_-_2_B_0_-_7_G_2_B_7_G_12_G_12_G_12_G_12_G_0_-_0_-_2_B_17_B_0_-_0_-_0_-_8_b	_0_C_0_-_4_C_9_C_4_E_6_B_6_B_14_E_2_B_12_E_3_G_2_G_6_I_5_K_1_e_1_c_5_C_7_C_9_F_5_D_0_d_5_b	0-14	0-20	BjACBGBGGGGGBBbi	CCCEBBEBEGGIKecCCFDdbdJJbhmDdjAgjBBldAAkAAnoAAAhkAAAbbAkjjCCeBCGGCABG	0.443
3qqz_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_0_-_0_-_0_-_0_-_17_B_8_b	_7_F_0_-_4_F_2_C_9_B_6_E_4_E_4_F_5_G_12_E_4_F_3_F_8_C_1_d_8_D_4_E_4_D_5_B_6_b	0-14	1-18	BjACBGBGGGGGBBbi	GFFCBEEFGEFFCdDEDBbCDF	0.502
6djp_A		_0_B_2_j_3_A_0_-_1_C_0_-_0_-_2_B_7_G_2_B_7_G_0_-_0_-_12_G_12_G_0_-_12_G_12_G_2_B_0_-_0_-_17_B_0_-_0_-_8_b	_3_D_0_e_14_A_5_b_7_D_8_E_2_c_2_D_6_E_10_D_8_E_3_B_5_B_2_F_5_F_7_b_0_E_8_E_9_D_1_A_2_A_5_C_15_D_8_E_0_b	0-14	17-41	BjACBGBGGGGGBBbi	ICEEBBAADEAAEDCDcDeAbDEcDEDEBBFFbEEDAACDEbFIAAAJIBHHHAH	0.354
5gs2_D		_0_B_0_-_2_j_3_A_1_C_2_B_0_-_7_G_0_-_2_B_0_-_7_G_0_-_12_G_0_-_12_G_12_G_12_G_2_B_17_B	_3_B_6_F_3_b_1_F_5_D_18_E_4_E_8_G_15_D_5_C_2_A_7_F_8_D_6_D_3_A_7_E_2_E_9_E_6_A_3_B	0-13	1-20	BjACBGBGGGGGBBbi	CBFbFDEEGDCAFDDAEEEAB	0.414
6e9f_A		_0_B_2_j_3_A_1_C_2_B_7_G_2_B_7_G_12_G_12_G_12_G_12_G_2_B_17_B_0_-_0_-_8_b_0_-_0_-_6_i	_6_A_0_-_2_A_2_B_5_B_0_-_1_C_0_-_2_C_0_-_7_E_3_E_8_B_0_-_22_g_10_c_3_b_12_c_26_b_7_j	0-15	1-15	BjACBGBGGGGGBBbi	dAABBCCEEBgcbcbjhAAggeiccjhgckjbndbhcibjjbgjebfgjimmdjjljcce	0.397
