3cwb_F	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_b_5_h_2_n_5_b_0_-_3_b_5_m	0.576
4d28_B	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_B_9_G_5_G_0_d_4_k_8_E_3_F_7_f_4_o_0_-_8_b_0_B_5_B_0_-_0_-_21_c_6_m_9_i_10_i_10_d_0_-_2_c_15_e	0.529
5fms_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_0_-_12_A_0_-_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k	_0_C_13_f_5_C_13_D_7_j_0_-_3_D_5_c_4_c_4_B_5_A_10_C_6_b_11_C_4_B_4_D_4_A_0_-_0_-_4_E_8_D_0_-_2_c_1_c_4_j	0.381
2oyo_A	_9_b_0_-_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_b_2_k_5_f_1_j_11_l_2_l_2_h_1_b_4_l_1_b_2_h	0.389
2hdo_A	_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k_0_-_4_b_0_-_6_g	_2_c_7_f_13_k_0_-_4_b_1_A_3_f_7_B_0_-_0_-_4_e_8_B_1_b_8_h_4_b_0_D_2_i_2_D_6_b_4_B_2_g	0.373
5abx_A	_0_G_0_-_0_-_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_H_0_h_4_b_5_E_15_F_2_l_4_e_0_F_5_F_0_-_5_l_8_C_0_d_4_B	0.512
3e27_B	_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_F_6_k_4_E_14_j_5_B_12_j_4_F_0_h_0_-_0_-_3_c_4_D_13_B_0_-_8_h_10_h	0.383
1s7i_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_H_0_-_1_b_5_o_2_E_3_b_1_D_4_D_8_I_2_g_3_d	0.476
2kfl_A	_5_B_0_-_6_A_9_b_2_d_8_n_3_b	_0_A_14_g_9_A_2_b_0_-_4_k_5_b	0.518
3fvq_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b_0_-_6_g	_0_I_2_J_4_E_5_h_6_E_2_C_0_-_0_-_0_-_7_b_3_B_0_-_0_-_0_-_11_e_10_k_2_b_0_-_4_b_2_k_5_D_7_m_3_D_3_f	0.370
5a5t_H	_0_G_0_-_4_F_2_H_0_-_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_0_-_3_b_13_c	_0_D_1_h_13_F_3_H_3_A_3_A_3_k_0_-_5_E_0_-_9_k_4_D_2_b_6_C_0_-_0_-_3_d_10_c_22_f_7_m_2_r_5_j_9_d	0.400
6e6i_F	_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_0_-_6_A_9_b_0_-_2_d_0_-_8_n_3_b_0_-_13_c_5_c_21_k_4_b	_0_E_4_k_12_f_10_f_4_D_2_b_7_o_4_B_11_k_5_B_17_k_3_B_11_m_3_c_5_B_1_b_2_j_6_d_3_B_5_j_1_b_0_A_23_e_5_d_0_-_5_d	0.361
5i0y_B	_0_G_4_F_0_-_2_H_0_l_11_G_5_F	_17_G_5_D_1_D_2_G_0_-_5_I_23_H	0.506
3o8w_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_F_1_j_7_F_12_I_1_l_0_-_8_E_0_-_0_-_2_B_0_-_6_B	0.476
2pb1_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_9_b_0_-_2_d_8_n_0_-_3_b_13_c_5_c_21_k_0_-_4_b_6_g	_4_F_0_-_0_b_12_k_3_G_0_-_8_b_12_l_0_-_2_b_3_D_6_b_2_m_6_C_0_-_14_b_4_E_6_c_3_l_4_E_34_b_2_b_0_-_2_n_3_C_8_b_1_e	0.447
2ica_A	_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k	_0_G_6_m_5_G_3_D_1_f_2_d_11_f_0_-_7_b_6_G_10_b_3_F_0_-_1_b_2_d_0_-_2_b_0_-_4_c_0_C_4_i	0.527
2i10_B	_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_2_j_4_e_5_l_9_b_0_-_5_j_2_k_0_-_8_f	0.354
2kq3_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n	_1_C_4_E_2_F_19_k_3_D_11_F_2_A_0_g_15_k	0.487
1xmt_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_C_0_b_1_C_5_F_0_-_4_G_0_-_2_b_4_l_3_C_2_a_0_-_0_-_0_-_5_b_1_e	0.396
2xeu_A	_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_0_e_0_-_4_C_0_-_4_B_0_i_15_B	0.420
6wu9_P	_0_l_0_-_0_-_11_G_5_F_9_c_4_n_12_A_5_b	_0_j_11_A_2_A_4_F_4_F_0_-_12_l_6_A_9_j	0.435
5h4y_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_4_I_12_G_5_B_10_H_2_e_1_G_7_H_0_-_0_-_0_-_0_b_6_E	0.439
1s99_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_0_-_12_A_5_b_0_B_5_B_0_-_6_A	_0_D_0_-_7_j_6_C_4_D_0_-_1_l_8_D_29_B_13_f_3_D_2_C_3_j_11_B	0.399
3epd_3	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_2_D_2_F_8_F_9_c_3_E_5_E_0_-_0_-_8_A_4_b_3_E_12_I_4_D	0.386
1fmb_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_0_-_6_A_9_b_2_d	_0_E_0_-_2_F_7_B_0_e_0_-_7_A_0_-_3_B_2_B_2_H_2_I_5_A_0_-_1_e	0.444
1nz6_A	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_i_6_d_22_k_0_-_2_c_5_c_4_h	0.511
4o5n_B	_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n	_0_E_2_E_1_m_20_z_0_B_5_B_5_g_5_j	0.399
4ubp_C	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_-_0_B_0_-_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_2_I_2_E_21_C_4_C_0_-_1_F_5_f_2_F_5_d_5_j_5_D_7_i_7_b_3_k_4_B_9_g_4_B_0_-_0_-_13_e_3_C_11_k_0_-_6_i_2_j_19_l_11_h_3_f	0.366
2vy1_A	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_p_10_h_7_e_1_h_1_k_4_f_1_h	0.439
3f7o_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_7_E_7_b_3_E_11_i_10_E_9_l_8_D_3_A_0_-_2_j_3_D_7_b_0_A_7_E_4_A	0.404
5tvi_W	_8_n_3_b_13_c_5_c_21_k_4_b	_0_m_5_k_0_-_3_l_6_j_13_b	0.398
1hk8_A	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_10_D_0_-_5_l_12_E_12_k_3_C_0_g_0_-_30_H_0_e_2_A_0_-_2_A_0_-_0_-_1_q_5_b_1_c_15_c_5_F_0_-_1_g	0.363
1sxj_B	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_0_-_5_c_21_k_4_b_6_g	_5_j_0_-_6_C_0_-_6_n_0_C_7_b_5_d_10_E_0_-_0_-_1_b_2_d_2_e_4_F_2_b_2_c_3_C_5_l_5_j_3_l_4_g	0.418
2o14_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_3_H_5_D_2_C_7_G_0_-_3_G_7_J_0_-_0_-_0_-_0_-_7_B_33_B_0_-_7_e_2_e_0_-_14_b_1_b_3_e_0_-_4_c_6_B_22_i	0.394
4rpt_A	_0_G_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A	_0_F_13_F_0_-_2_k_1_d_4_H_2_C_0_-_5_k_3_A_0_-_8_D_7_E_2_G_4_D	0.467
5tjf_A	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_7_q_1_e_3_e_1_c_8_p_3_f_3_g	0.427
3lhh_A	_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B	_3_A_4_f_6_D_7_C_0_h_6_c_0_-_5_B_6_g_4_B_5_C	0.353
6l35_D	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c	_2_G_4_B_5_B_3_F_2_i_8_E_5_B_25_b	0.512
1gwy_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_4_I_9_A_3_G_9_H_0_-_3_H_9_G_6_g_0_-_4_A_0_-_4_F_2_F	0.415
2gsy_A	_0_G_4_F_2_H_0_l_11_G_0_-_0_-_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_12_K_6_D_7_G_0_-_5_G_4_b_1_L_7_F_3_b_7_c_0_-_0_-_4_b_0_E_4_C_10_A	0.408
4dnl_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_H_0_-_2_I_0_-_11_G_8_A_10_H_2_d_0_-_1_G_0_-_10_D_6_E_0_-_5_b	0.415
1j6x_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b	_9_H_0_-_5_G_10_l_3_D_5_F_4_i_3_b_19_k_0_-_1_b	0.565
1w63_Q	_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_F_5_E_5_l_8_C_2_G_2_F_0_-_5_n_0_-_4_l_2_A_0_-_2_A_0_-_0_-_4_n	0.530
1n62_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_F_2_F_0_-_0_-_0_-_5_b_23_C_2_C_0_-_0_b_2_c_3_B_1_b_0_-_9_g_9_k_0_-_5_f	0.418
1tfe_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_0_-_4_n_12_A_5_b_0_B_5_B	_0_G_0_-_5_H_2_d_1_m_0_-_0_-_6_b_2_l_5_n_0_-_1_b_1_A_2_D	0.436
4uur_A	_2_d_8_n_3_b_0_-_13_c_5_c_21_k	_0_c_3_l_3_g_6_k_6_d_4_c_7_m	0.515
2v2k_A	_12_A_5_b_0_-_0_B_5_B_0_-_6_A_9_b_2_d_8_n_3_b_13_c_5_c	_0_B_1_b_6_d_5_B_4_B_10_b_5_B_0_b_2_b_0_-_2_f_10_c_7_c	0.591
1esj_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_2_D_5_j_2_C_6_d_4_D_5_l_4_C_7_k_4_C_1_g_16_k_2_C_0_-_4_C_4_C_0_-_0_-_4_d_3_l_0_-_3_p_0_-_4_k_0_-_2_f	0.359
4j72_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b	_2_l_0_-_0_-_2_d_6_n_5_q_6_m_10_B_7_B_1_o_8_m_2_f_9_n_8_m_3_f_0_-_1_n_11_b	0.374
2etj_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_6_F_8_G_6_g_3_G_0_-_1_f_1_f_0_-_2_d_6_D_9_C_0_-_0_-_2_c_1_l_0_-_11_c_0_-_5_i_10_c_4_h	0.429
6ncv_A	_3_b_13_c_5_c_21_k_4_b_6_g	_0_h_7_h_13_b_5_j_0_-_5_h	0.409
6ddv_C	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_I_0_-_2_J_4_E_0_-_0_-_2_A_2_b_1_F_0_-_5_I_3_b	0.366
5fmg_F	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_5_E_2_D_30_o_5_m_11_C_0_-_5_D_5_C_1_C_0_-_4_f_11_j	0.350
3cxr_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_0_-_0_-_13_c_5_c_21_k_4_b	_5_D_0_-_4_j_0_-_3_E_0_-_2_k_5_C_5_k_5_C_0_-_0_-_9_b_2_g_5_l_2_E_2_b_7_p_1_G_5_f_3_h_8_j_1_b	0.366
2db6_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_D_0_-_4_A_6_A_1_c_0_D_0_-_5_A_5_b	0.418
1feu_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b	_2_F_4_F_0_j_4_D_5_J_0_-_6_G_5_I_3_c_0_-_3_C_3_E_1_b_4_C_7_C_0_-_0_b	0.470
4omu_A	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_0_-_8_n_0_-_3_b_0_-_13_c_5_c_21_k_4_b_0_-_6_g	_0_F_0_-_7_j_4_F_5_g_5_C_4_f_0_-_2_A_1_e_4_C_5_C_2_f_13_D_3_c_2_e_4_D_3_k_2_C_1_b_6_C_2_d_0_-_0_-_7_b_6_C_8_g	0.408
1g8q_A	_8_n_3_b_13_c_5_c_21_k	_0_o_4_k_8_h_9_d_4_i	0.438
4j5i_D	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b	_0_C_6_C_9_k_1_C_7_j_20_G_7_D_0_e_3_h_1_D_5_D_0_-_1_B_6_B_5_C_0_-_0_-_4_l_1_b	0.389
6dke_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_0_-_3_b_13_c_0_-_5_c_21_k_0_-_4_b_6_g	_0_E_6_c_0_-_4_C_0_-_3_B_2_B_7_i_5_A_0_-_0_-_4_k_3_C_9_c_1_d_5_B_7_l_4_k_2_D_4_d_6_g	0.396
6ilr_B	_0_G_4_F_2_H_0_-_0_l_11_G_0_-_5_F_9_c_0_-_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_12_B_5_F_5_E_2_c_7_g_3_E_3_j_5_F_6_c_4_B_2_g_6_k_4_D_1_b_1_D_5_B_0_-_13_k_0_-_4_l_6_b_0_-_0_-_3_j	0.408
2glk_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_0_-_12_A_5_b_0_-_0_B_5_B_6_A_0_-_9_b_0_-_2_d_0_-_0_-_8_n_0_-_0_-_3_b_13_c_5_c_21_k_4_b_6_g	_4_D_0_-_0_c_6_m_0_-_5_B_6_b_9_n_4_C_5_A_2_b_2_o_4_C_0_-_9_A_4_g_5_b_0_B_3_d_5_i_7_A_18_k_5_B_9_r_1_h_2_c_8_e_0_-_1_b_5_e	0.362
2grg_A	_4_F_2_H_0_-_0_l_11_G_5_F	_2_D_5_E_0_b_6_j_3_F_4_F	0.538
4flb_A	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_1_m_2_m_7_f_2_e_7_k_0_-_4_j	0.408
1f3u_B	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_0_-_9_b	_0_A_8_E_1_b_3_b_0_-_3_D_2_c_0_-_2_C_4_b_5_C_10_D_6_E_10_D_5_K_0_b	0.378
2arc_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_G_8_B_6_H_0_-_1_D_2_D_0_-_0_-_4_C_5_D_5_H_3_e_4_B_2_C_0_-_6_l_0_-_5_n	0.381
1uh6_A	_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_F_6_E_0_-_4_j_0_-_3_b_1_C_0_-_2_A_0_-_6_c	0.417
7m59_A	_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A	_0_F_0_-_4_n_0_-_3_b_1_F_1_b_1_A_2_A	0.604
1ufb_A	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_o_2_o_9_e_0_-_9_j_8_b_5_c	0.430
1a70_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_0_G_0_-_2_G_4_f_17_E_2_A_8_e_0_-_1_B_0_b_1_A_3_C_0_-_3_b	0.475
6f47_A	_0_G_4_F_0_-_2_H_0_l_11_G_0_-_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_0_-_5_c_21_k_0_-_4_b_6_g	_5_E_2_F_2_C_9_C_0_-_13_C_4_A_2_D_13_D_0_-_3_m_7_B_0_-_4_B_6_B_0_-_0_f_1_c_4_o_1_b_5_h_2_A_6_A_1_h_7_f_17_A_17_b_5_b	0.391
1nc7_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A	_2_A_1_D_7_H_0_-_5_F_5_B_0_b_0_-_8_A_0_-_2_E_2_F_2_B_5_B	0.406
3kxt_A	_0_G_4_F_2_H_0_l_11_G_5_F	_0_C_5_C_3_D_0_-_7_F_6_D	0.364
2vxe_A	_0_G_4_F_2_H_0_l_11_G_5_F	_0_E_3_J_4_H_0_-_18_F_3_E	0.559
5m38_B	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_0_C_0_-_12_m_0_-_4_E_0_-_6_o_0_-_5_b_0_D_12_f_1_E	0.396
