6ei0_N	_1_j_5_b_12_m_15_q_12_j	_0_q_4_b_1_o_6_q_4_p	0.500
2rgx_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_D_6_j_0_-_2_C_0_j_2_j_6_j_6_C_0_-_5_k_6_E_0_-_2_h_0_-_1_B_6_B_0_-_0_-_0_-_15_b_0_-_1_q_0_-_2_D_4_k	0.379
7kzn_I	_7_k_1_D_2_c_1_g_9_m_0_-_21_B_4_D	_0_k_6_D_0_-_0_-_12_q_8_A_8_B_10_C	0.475
2ngr_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_0_-_1_C_0_-_0_f_5_g_10_C_2_k	_5_i_11_I_2_I_3_b_0_-_0_-_3_c_5_F_3_e_5_f_5_E_1_d_1_g_8_i_5_B_8_j	0.537
4oeu_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_0_-_1_C_0_-_0_f_0_-_5_g_10_C_0_-_2_k_2_n_0_-_2_j_5_o_0_-_2_o_0_-_7_k_0_-_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_5_E_0_-_13_j_1_b_4_b_0_-_3_G_2_E_6_c_0_-_0_-_7_c_8_c_7_F_3_E_12_E_3_i_4_B_2_f_5_E_4_E_9_h_3_b_9_B_21_j_2_A_5_B_2_A_1_F_3_l_3_F_11_E_10_c_1_b_16_j_4_m_3_F_1_E_12_b_0_-_0_-_6_b	0.358
1i27_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	0.530
1kcf_A	_2_h_14_i_8_F_0_-_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_0_i_10_g_8_E_4_G_5_H_0_-_17_n_3_E_9_p_0_-_0_-_3_C_2_j_4_i_3_B_2_h_6_s	0.510
2oyo_A	_0_k_0_-_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g	_2_k_5_f_1_j_0_-_11_l_2_l_0_-_2_h_0_-_0_-_0_-_1_b_4_l_0_-_1_b_2_h_9_d_0_-_2_h_6_d	0.368
1s7i_A	_2_I_9_c_7_l_5_o_0_-_3_c_2_c_1_C_0_-_0_-_0_f_5_g_10_C	_0_H_1_b_0_-_5_o_2_E_3_b_0_-_1_D_4_D_8_I_2_g_3_d_1_E	0.435
2kfl_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q	_0_A_0_-_14_g_0_-_9_A_0_-_2_b_0_-_4_k_5_b_0_-_5_r	0.363
2wme_A	_8_B_0_-_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_0_-_5_o_0_-_3_c_2_c_1_C_0_f_5_g_0_-_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_0_-_4_D_0_b_0_-_11_e	_6_E_3_n_2_m_1_j_3_b_0_-_5_m_4_D_2_H_2_D_5_k_3_D_6_k_6_B_9_d_0_-_5_D_0_-_2_l_2_D_5_C_5_m_7_D_0_l_19_l_3_C_0_-_9_b_6_C_6_c_6_F_2_h_0_-_6_D_3_i_4_C_15_b_0_A_4_e	0.351
3fvq_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_1_j_5_b_0_-_12_m_15_q_12_j_2_B_1_i_0_-_0_-_5_i_2_f	_4_E_0_-_5_h_0_-_6_E_2_C_7_b_3_B_11_e_10_k_2_b_4_b_2_k_5_D_7_m_3_D_3_f_2_E_2_E_1_e_4_f	0.380
4to8_A	_10_j_8_B_0_m_8_k_0_-_2_e_2_h_0_-_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o	_0_h_4_D_0_-_3_k_4_E_0_e_3_k_6_G_2_i_3_C_6_l_4_E_8_c_5_j_0_-_0_-_0_-_3_C_11_j_3_B_7_f_4_E_0_-_1_m_0_-_6_p	0.432
1a0c_A	_2_c_1_C_0_f_5_g_0_-_10_C_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_0_-_2_c_1_g_9_m_21_B_0_-_0_-_4_D_0_b_11_e_1_j_5_b_12_m_0_-_15_q_12_j_2_B_1_i_5_i_2_f	_0_d_1_C_0_d_15_c_3_n_3_D_0_c_6_n_5_E_6_b_0_-_9_n_0_-_4_C_5_A_2_b_0_-_2_o_5_C_9_A_4_i_6_E_0_-_0_e_4_i_3_D_18_k_8_B_11_q_2_h_1_b_2_g_4_i_10_j	0.408
2ica_A	_8_B_0_m_0_-_0_-_8_k_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g	_0_G_6_m_5_G_3_D_1_f_2_d_11_f_7_b_6_G_10_b_3_F_1_b_0_-_0_-_2_d_2_b_4_c_0_C_0_-_4_i	0.433
1xmt_A	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f	_5_F_4_G_2_b_4_l_3_C_2_a_5_b_0_-_1_e	0.451
2xeu_A	_2_c_1_C_0_f_5_g_10_C	_0_e_4_C_4_B_0_i_15_B	0.551
2gmg_A	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D	_0_j_0_-_9_c_0_-_9_l_4_D_3_A_29_E	0.515
2gfh_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_0_-_2_B_1_i	_0_A_0_-_0_-_5_C_8_k_0_-_10_k_6_m_5_m_5_j_3_E_0_-_3_j_2_b_0_-_2_C_0_b_0_-_7_j_3_b_0_-_0_D_7_d_4_D_15_B_2_j	0.386
1nz6_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f	_0_i_0_-_0_-_6_d_22_k_0_-_2_c_5_c_0_-_4_h	0.416
4o5n_B	_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j	_2_E_0_-_0_-_1_m_20_z_0_B_5_B_0_-_5_g_5_j	0.471
2n3e_A	_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_6_f_4_i_0_-_5_n_5_n_0_-_4_p	0.497
2vy1_A	_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_0_p_10_h_0_-_7_e_1_h_1_k_0_-_0_-_4_f_1_h_5_f_3_b_4_m	0.474
5tvi_W	_0_k_10_j_8_B_0_m_8_k_2_e	_0_m_5_k_0_-_3_l_6_j_13_b	0.567
1oaa_A	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_D_0_-_0_-_5_j_7_E_0_-_2_k_4_E_0_-_0_-_5_k_0_-_8_E_11_b_3_g_5_j_8_F_2_b_7_n_0_-_0_-_3_F_6_h_3_j_6_k	0.367
5a2q_a	_21_B_4_D_0_b_11_e_0_-_1_j_5_b	_6_B_4_G_0_-_3_h_10_G_1_f_9_b	0.450
1j6x_A	_2_c_0_-_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j_5_b	_0_c_9_H_5_G_10_l_3_D_5_F_4_i_3_b_0_-_19_k_1_b	0.446
2r8w_A	_5_g_10_C_2_k_0_-_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_b_1_C_13_k_3_A_12_l_7_A_4_k_4_B_0_-_9_k_4_B_3_c_5_g_4_C_8_g_8_A_4_h_4_C_1_b_2_e_8_i_0_-_0_-_0_-_1_i_0_-_1_j_16_l	0.439
1poa_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e	_0_j_0_-_5_c_0_-_17_l_14_C_2_C_5_m_6_b_4_d	0.606
4woq_A	_0_k_10_j_8_B_0_-_0_-_0_m_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k	_12_k_0_-_5_C_2_b_1_b_2_l_4_D_5_k_4_D_0_-_8_j_6_D_0_-_1_c_0_-_0_-_5_f_0_-_5_E_4_i_4_C_2_g_5_C_2_l_3_n_2_i_6_A_0_-_9_l	0.398
1j9i_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j	_0_B_0_f_4_f_17_B_0_g_0_-_3_i	0.561
1n62_A	_8_F_2_I_9_c_7_l_5_o_0_-_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_0_F_2_F_5_b_0_-_23_C_2_C_0_b_2_c_3_B_1_b_9_g_0_-_9_k_0_-_5_f_11_l	0.378
1tfe_A	_8_F_2_I_9_c_0_-_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_G_5_H_2_d_1_m_6_b_2_l_5_n_1_b_0_-_1_A_0_-_0_-_2_D_0_j	0.476
4uur_A	_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_0_c_3_l_3_g_6_k_6_d_4_c_0_-_0_-_0_-_0_-_7_m_3_m	0.378
4s0u_C	_2_e_2_h_14_i_8_F_2_I_0_-_9_c_7_l_5_o_3_c_0_-_0_-_2_c_1_C_0_f_5_g_10_C_2_k	_1_b_3_b_0_-_0_F_2_F_6_A_3_d_0_-_4_o_14_H_5_H_2_F_0_-_4_C_5_h_1_h_0_-_6_k	0.366
6ncv_A	_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_h_7_h_13_b_0_-_0_-_5_j_0_-_5_h_5_j	0.457
2db6_A	_1_D_0_-_0_-_2_c_1_g_9_m_21_B_4_D_0_b	_0_D_4_A_6_A_1_c_0_-_0_-_0_D_5_A_5_b	0.378
1g8q_A	_0_m_8_k_2_e_2_h_14_i	_0_o_4_k_8_h_9_d_4_i	0.699
2glk_A	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_-_0_b_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_0_-_1_i_5_i_2_f	_0_b_1_C_0_c_17_i_4_D_0_c_6_m_5_B_6_b_0_-_9_n_0_-_4_C_5_A_2_b_0_-_2_o_4_C_9_A_4_g_5_b_0_B_3_d_5_i_0_-_7_A_0_-_18_k_5_B_9_r_1_h_2_c_8_e	0.391
3bl2_A	_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_l_10_p_7_l_0_-_6_k_12_l_2_c	0.472
2grg_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_A_0_-_0_f_0_-_2_D_5_E_0_b_0_-_6_j	0.365
4flb_A	_0_k_10_j_8_B_0_m_8_k_0_-_2_e_2_h_14_i	_0_k_4_k_0_-_1_m_2_m_7_f_2_e_7_k_4_j	0.661
2az0_A	_11_e_1_j_5_b_12_m_15_q_12_j	_0_e_1_i_1_b_0_-_7_r_3_h	0.632
1ufb_A	_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m	_0_o_2_o_9_e_9_j_0_-_8_b_5_c_2_o	0.604
2ohf_A	_8_B_0_m_8_k_2_e_2_h_0_-_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_0_-_2_c_0_-_1_g_9_m_21_B_4_D	_0_C_0_-_0_-_0_-_6_h_4_D_3_i_3_B_2_E_5_f_4_E_4_p_8_j_5_b_5_i_2_b_2_E_2_e_3_k_4_D_1_h_0_-_2_i_0_-_0_-_6_j_2_F_3_G_4_e_4_d_0_F_1_f_2_e_4_B_10_F	0.383
4ebr_B	_7_k_0_-_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_0_k_8_E_6_D_8_I_4_I_12_h_0_-_11_C_2_D_5_b_10_e	0.504
3bgs_A	_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_0_-_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_0_k_6_D_4_e_1_F_0_b_9_c_1_F_2_F_4_b_3_c_1_h_3_I_9_H_0_d_25_k_7_F_8_h_4_B_3_i_2_J_12_i_1_j	0.448
2otg_B	_0_k_10_j_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F_2_I_9_c	_0_k_10_i_0_-_6_h_7_j_5_g_10_A_0_i_6_g_4_A_2_A_1_h	0.450
5ttx_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_0_-_12_m	_5_k_6_F_9_b_0_-_0_-_2_F_9_D_0_-_2_j_8_i_0_-_5_F_12_m	0.408
5m38_B	_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C	_0_C_0_-_0_-_12_m_4_E_6_o_5_b_0_-_0_D_12_f_0_-_1_E	0.427
1yal_A	_10_C_2_k_2_n_2_j_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b	_0_A_19_l_7_f_11_j_18_b_0_-_9_C_5_f_4_D_4_c_5_A_0_-_9_J_2_F_11_D_8_b	0.351
3jst_A	_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_h_5_A_6_E_0_-_0_-_3_m_4_D_2_E_2_b_0_-_4_l	0.459
4fet_B	_9_c_0_-_7_l_5_o_3_c_2_c_0_-_1_C_0_f_5_g_10_C	_0_c_2_f_4_l_0_-_7_d_6_c_9_j_10_B_8_c_0_-_2_D	0.513
5f4c_A	_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_D_0_b_0_-_3_j_3_b_0_-_0_-_3_h_7_E_3_e_1_k	0.463
4o6a_A	_14_i_0_-_8_F_2_I_0_-_0_-_9_c_0_-_7_l_5_o_0_-_0_-_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c	_0_j_3_p_8_D_13_H_3_D_6_E_9_b_4_A_1_l_6_C_8_F_3_J_5_b_11_f_4_D_9_b_0_-_1_C_1_h_17_m_1_b_4_k_3_c_1_o_20_l_0_-_3_d	0.390
4wfa_Q	_2_c_1_C_0_f_5_g_10_C_2_k	_0_c_0_C_3_f_0_-_3_E_5_j	0.657
3k12_A	_8_B_0_m_8_k_2_e_0_-_2_h_14_i_8_F	_2_C_11_m_0_-_4_b_0_G_2_j_0_-_10_E	0.383
7lvl_D	_10_C_2_k_0_-_0_-_2_n_0_-_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_D_12_k_4_A_7_b_2_l_5_C_5_k_3_D_0_-_0_-_8_k_4_D_1_c_5_i_3_E_5_i_4_C_2_h_4_C_1_b_0_-_2_j_0_-_3_m_0_-_5_j_0_-_18_k	0.486
4a2q_D	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_0_-_7_l_0_-_5_o_0_-_3_c_0_-_0_-_2_c_1_C_0_f_5_g_10_C_2_k_0_-_0_-_0_-_2_n_2_j_0_-_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m	_3_j_8_j_2_g_5_m_5_g_5_h_6_j_7_j_0_-_0_-_2_d_6_j_4_C_6_k_9_C_3_m_3_C_4_e_3_C_1_h_6_b_2_D_1_b_5_j_10_E_10_l_3_B_5_f_5_D_7_n_5_l_5_s_2_m_4_o_6_l_5_C_0_-_3_j_10_A_4_C_5_D_0_-_6_c_5_D_4_p_0_-_3_l	0.363
2a7s_A	_8_k_2_e_2_h_14_i_0_-_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_0_-_0_-_11_e_1_j_0_-_0_-_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i_2_f	_0_k_0_-_6_h_5_g_6_B_22_F_4_F_4_b_3_m_3_D_6_b_2_l_5_D_0_-_6_g_2_E_2_A_5_g_5_d_1_e_6_B_0_-_2_k_20_b_3_c_16_f_0_-_5_B_7_F_4_F_4_b_3_l_4_F_6_e_1_k_4_I_0_e_3_b_0_-_3_C_0_-_4_B_3_g_6_b_11_f_6_e	0.380
7v9l_R	_0_m_8_k_2_e_2_h_14_i	_3_m_1_e_8_c_7_h_7_j	0.635
2pt0_A	_8_B_0_m_8_k_2_e_2_h_0_-_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k	_12_A_0_-_9_b_12_c_0_-_1_B_5_j_6_F_3_C_2_F_0_b_7_l_3_D_0_-_3_b_5_C_3_A_1_f_3_F_7_j_6_C_5_k_0_-_5_i_0_-_14_r_8_f	0.371
2gjs_A	_2_h_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_6_h_0_-_3_H_2_H_3_d_4_F_3_m_0_-_0_-_0_-_5_E_4_b_4_j_2_C_0_-_8_n	0.388
1g2x_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_0_j_0_-_4_c_0_-_17_l_14_C_2_C_0_-_0_-_5_n_4_b	0.427
3ufb_A	_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_0_-_0_-_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_0_-_0_-_1_i	_0_l_7_t_14_c_8_h_2_B_5_B_1_e_9_i_0_-_8_j_6_m_13_j_7_B_0_-_6_j_0_-_0_-_5_g_3_C_3_k_5_B_8_b_2_b_3_C_9_c_4_b_4_j_12_F_0_d_0_-_0_-_3_j_1_F_13_F_6_E_17_j	0.418
4tv6_A	_10_j_8_B_0_m_8_k_0_-_2_e_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_0_-_2_n	_4_h_4_D_0_-_7_k_3_D_3_f_0_-_3_C_5_i_13_E_0_-_2_d_0_-_0_-_1_c_0_-_7_C_1_f_9_l_3_C_6_f_4_E_0_n	0.431
1ja9_A	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_C_0_-_0_-_5_j_3_E_0_-_3_k_4_D_0_-_0_-_5_l_0_-_2_D_10_b_2_g_5_j_0_I_2_b_0_-_8_p_0_-_2_F_5_h_10_i_9_j	0.408
4bwc_A	_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g	_4_D_8_E_2_c_3_E_8_t_3_p_0_-_4_r_0_-_6_g_1_f	0.356
1e3d_B	_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_0_-_0_-_0_-_2_o_7_k_0_-_1_D_2_c_1_g_9_m_21_B_0_-_0_-_4_D_0_b_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_0_-_0_-_0_-_1_i_5_i_2_f	_9_G_2_H_5_d_4_h_8_k_5_o_6_b_5_c_0_-_0_-_0_-_0_-_2_j_6_l_4_b_15_s_8_A_2_A_2_c_1_m_5_i_1_d_6_E_9_b_0_-_0_-_2_E_4_b_5_b_0_C_12_b_20_C_8_i_5_j_3_c_0_-_2_s_0_-_16_H_2_I_2_G_1_d_11_e_11_h_4_e	0.361
5vgm_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_3_C_4_j_0_-_5_C_10_k_4_D_8_h_3_B_0_-_8_k_2_C_0_-_10_g_5_e_5_B_5_h_4_D_2_c_2_d_0_-_5_b_0_-_0_-_8_k_4_B_8_c_12_j_3_d_5_e	0.401
1wfy_A	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C	_0_F_5_E_10_c_0_-_0_-_26_b_0_-_5_B	0.360
3sb2_C	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b	_0_i_4_D_0_-_0_-_4_H_3_D_3_D_0_b	0.357
6up7_R	_9_c_7_l_5_o_0_-_3_c_0_-_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_0_-_2_o_7_k	_0_b_5_t_9_o_15_u_3_d_2_m_1_c_5_A_0_-_0_-_10_A_0_-_0_-_6_j_5_p_14_t_8_q_8_k	0.431
2vgl_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_-_0_b_11_e_1_j_5_b_0_-_12_m_15_q_12_j_2_B_1_i_5_i	_7_h_3_k_0_-_5_l_3_k_2_f_2_f_5_m_0_-_0_-_1_b_6_f_5_m_1_c_2_k_9_A_0_-_0_-_2_A_1_k_6_n_0_-_7_o_3_k_5_k_0_-_6_d_2_g_5_k_2_m_2_m_0_-_4_m_3_k_3_j_6_k_1_c_6_j_4_m_0_-_1_j_0_-_2_c_4_l	0.402
3crd_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l	_0_k_8_f_4_f_6_i_0_-_0_-_8_f_3_k	0.519
1alc_A	_8_k_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c	_0_f_1_b_2_b_2_j_6_B_4_B_4_A_20_d_4_k_2_b_1_e_5_b	0.403
3zhn_A	_2_e_2_h_14_i_8_F_2_I_0_-_9_c	_3_d_2_e_1_g_0_H_4_G_5_E_4_b	0.512
3ppi_A	_0_k_0_-_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_0_-_3_c_2_c_1_C_0_f_5_g_10_C	_4_j_3_E_2_j_3_D_0_-_5_j_4_F_20_g_5_k_10_E_0_-_2_b_0_-_7_p_1_G_5_c_0_-_0_-_3_h_10_k_7_C	0.399
3ewp_B	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_2_j_2_F_0_-_8_i_1_k_4_C_6_G_0_-_0_-_8_i_0_-_8_D_0_-_10_j_5_E_2_j	0.375
1r8h_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c	_1_k_1_b_19_E_3_i_0_-_7_G_0_c	0.457
